molecule_chembl_id,canonical_smiles,scaffold,predicted_pIC50,max_tanimoto_to_train,model_risk_category,model_risk_penalty,QED,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,lipinski_violations,flag_tpsa_gt_140,flag_rotatable_bonds_gt_10,flag_qed_lt_030,property_penalty,final_score
CHEMBL5997498,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CCN(C)CC2)OC1=O,O=C1OC2(CCNCC2)CN1c1ccc2ncnc(Nc3ccccc3)c2c1,10.029329632441904,0.8714285714285714,low,0.0,0.5954445269709847,471.9200000000004,4.595500000000005,79.82000000000002,1,7,4,0,False,False,False,0.0,10.624774159412889
CHEMBL5790648,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,O=C1OC2(CNC2)CN1c1ccc2ncnc(Nc3ccccc3)c2c1,9.872261831642932,0.8714285714285714,low,0.0,0.6562395765631853,443.8660000000003,3.8153000000000032,79.82000000000002,1,7,4,0,False,False,False,0.0,10.528501408206118
CHEMBL174426,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,c1ccc(Nc2ncnc3cc4[nH]cnc4cc23)cc1,9.70966039212096,0.9111111111111112,low,0.0,0.5907366330453317,354.21100000000007,4.022600000000002,55.63,1,4,2,0,False,False,False,0.0,10.30039702516629
CHEMBL6188862,COc1cc2nc(C)nc(N/N=C/c3cc(CN4CCCCC4)c(O)c(OC)c3)c2cc1OC,C(=NNc1ncnc2ccccc12)c1cccc(CN2CCCCC2)c1,9.486797631113877,0.8548387096774194,low,0.0,0.3787610395217991,465.5540000000004,4.101520000000003,101.33,2,9,8,0,False,False,False,0.0,9.865558670635677
CHEMBL4749862,COc1cnccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,c1ccc(CNc2ncnc3[nH]c(-c4ccncc4)cc23)cc1,9.337821553363057,0.8214285714285714,low,0.0,0.4881157070111666,361.405,3.1740000000000004,95.95,3,6,6,0,False,False,False,0.0,9.825937260374223
CHEMBL2031299,O=C(CCN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,O=C(CCN1CCOCC1)Nc1ccc2ncnc(Nc3ccccc3)c2c1,9.131105424301444,0.8360655737704918,low,0.0,0.5878037335925037,456.3440000000001,3.796700000000002,79.38,2,6,6,0,False,False,False,0.0,9.718909157893947
CHEMBL516022,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,C1=NC=C2N=CN=C(Nc3ccccc3)C12,8.794817457525074,0.7272727272727273,low,0.0,0.8182257163781242,293.33000000000004,2.01922,78.21000000000001,2,5,2,0,False,False,False,0.0,9.613043173903199
CHEMBL5087955,COc1cc2nc(C)nc(N[C@H](C)c3ccccc3)c2cc1OC,c1ccc(CNc2ncnc3ccccc23)cc1,9.089500472755455,0.5576923076923077,medium,0.25,0.76491797581635,323.39600000000013,4.128520000000003,56.27000000000001,1,5,5,0,False,False,False,0.0,9.604418448571806
CHEMBL6192121,COc1cc2nc(C)nc(NNCC(=O)Nc3ccccc3)c2cc1OC,O=C(CNNc1ncnc2ccccc12)Nc1ccccc1,9.300583169275296,0.6181818181818182,medium,0.25,0.5520979890834106,367.40900000000016,2.5106200000000003,97.40000000000002,3,7,7,0,False,False,False,0.0,9.602681158358706
CHEMBL4789312,OC[C@@H](Nc1ncnc2[nH]c(-c3cccnc3)cc12)c1ccccc1,c1ccc(CNc2ncnc3[nH]c(-c4cccnc4)cc23)cc1,9.030281324705395,0.8163265306122449,low,0.0,0.522783770081518,331.3790000000001,3.1654000000000018,86.72,3,5,5,0,False,False,False,0.0,9.553065094786913
CHEMBL2031298,O=C(CCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,O=C(CCN1CCCCC1)Nc1ccc2ncnc(Nc3ccccc3)c2c1,8.999552795848235,0.8983050847457628,low,0.0,0.5517540108550381,454.3720000000001,4.950400000000004,70.15,2,5,6,0,False,False,False,0.0,9.551306806703273
CHEMBL5269375,COC(=O)c1cnc(Nc2ccc(N3CCN(C)CC3)cc2OC)nc1-c1cn(C)c2ccccc12,c1ccc2c(-c3ccnc(Nc4ccc(N5CCNCC5)cc4)n3)c[nH]c2c1,9.113121997519745,0.8732394366197183,low,0.0,0.4106761555683715,486.5760000000003,3.925900000000003,84.75,1,8,6,0,False,False,False,0.0,9.523798153088116
CHEMBL3355873,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCn1ccnc1[N+](=O)[O-],c1ccc(Nc2ncnc3ccc(OCCn4ccnc4)cc23)cc1,9.19329553100733,0.9264705882352942,low,0.0,0.305510598495083,458.8370000000003,4.358200000000003,117.23000000000002,1,8,8,0,False,False,False,0.0,9.498806129502412
CHEMBL6191315,COc1cc2nc(C)nc(N/N=C/c3cc(CN4CCOCC4)c(O)c(OC)c3)c2cc1OC,C(=NNc1ncnc2ccccc12)c1cccc(CN2CCOCC2)c1,9.105701814199472,0.8412698412698413,low,0.0,0.3815159800436043,467.5260000000004,2.947820000000001,110.56000000000002,2,10,8,0,False,False,False,0.0,9.487217794243076
CHEMBL6190750,COc1cc2nc(C)nc(N/N=C/c3ccccc3)c2cc1OC,C(=NNc1ncnc2ccccc12)c1ccccc1,9.15632599988136,0.6363636363636364,medium,0.25,0.575764640061593,322.36800000000017,3.4014200000000017,68.63000000000001,1,6,5,0,False,False,False,0.0,9.482090639942953
CHEMBL53753,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,c1ccc(Nc2ncnc3cnccc23)cc1,8.689247997438493,0.8181818181818182,low,0.0,0.7686164717854101,330.189,3.572600000000002,62.73,2,5,3,0,False,False,False,0.0,9.457864469223903
CHEMBL5956184,O=C1NCCc2[nH]c(-c3ccncc3OCc3ccccc3)c(Nc3cccc(F)c3)c21,O=C1NCCc2[nH]c(-c3ccncc3OCc3ccccc3)c(Nc3ccccc3)c21,9.04241408921417,0.7605633802816901,low,0.0,0.4112727710292109,428.4670000000001,4.824300000000004,79.04,3,4,6,0,False,False,False,0.0,9.45368686024338
CHEMBL2031300,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,O=C(CCN1CCNCC1)Nc1ccc2ncnc(Nc3ccccc3)c2c1,8.837577290424592,0.85,low,0.0,0.5737333346179045,469.38700000000017,3.7119000000000018,73.39,2,6,6,0,False,False,False,0.0,9.411310625042496
CHEMBL3357634,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C/CN(C)C,c1ccc(Nc2ncnc3ccccc23)cc1,8.890802663122715,0.7792207792207793,low,0.0,0.5180170506681305,447.8730000000002,4.528000000000004,79.38000000000001,2,6,7,0,False,False,False,0.0,9.408819713790844
CHEMBL6026192,O=C1CCc2c(Oc3ccc4c(c3)[C@H]3[C@H](NC(=O)c5ccc(CN6CCC[C@@H](O)C6)c(C(F)(F)F)c5)[C@H]3O4)ccnc2N1,O=C1CCc2c(Oc3ccc4c(c3)C3C(NC(=O)c5ccc(CN6CCCCC6)cc5)C3O4)ccnc2N1,9.265376296076283,0.8421052631578947,low,0.0,0.3881810658961396,594.5900000000001,4.390900000000002,113.02,3,7,6,1,False,False,False,0.25,9.403557361972423
