rank,oas_record_hash,source_file,source_row_index,background_source,oas_project_like_score,retrieval_score,saved_retrieval_score_available,max_positive_neighbor_similarity,top5_positive_neighbor_similarity,top10_positive_neighbor_similarity,nearest_project_positive_hash,positive_centroid_similarity,diversity_cluster,selected_diverse_shortlist,heavy_length,light_length,total_length,unusual_length_flag,cysteine_count_flag,glycosylation_motif_count,hydrophobic_fraction,hydrophobic_fraction_flag,duplicate_or_near_duplicate_flag,risk_flag_count,review_notes
1,c9c49b0a2eb6b660b32c621b927b641b1094f2b616f2ac3d57995c4b0165dfa2,SRR10358525_paired.csv.gz,306,OAS_paired_unknown_target_background,0.9101842050768316,0.977247209690371,True,0.8192203643833981,0.7045297352663896,0.6525218642286966,36e6797e80af8f95e0cadab8cdeb0edb3a5a1f2ae86febb6ee57b1804386d01e,0.5296901667907509,cluster_001,True,120,107,227,False,False,0,0.3744493392070485,False,False,0,diverse existing-record shortlist for expert review
2,34d1fbdee8c8d364a8d63ff7d52335921ccd5f0701419da0af0475de026d2b12,SRR10358525_paired.csv.gz,446,OAS_paired_unknown_target_background,0.8936142422792743,0.9792566623096786,False,0.7990053706072866,0.717438008914781,0.6753107508183048,e913c18be810d1e8f35aaae9ddba3e450541ba2efaa9cf0cf0b441f730aa87ba,0.4438494887264081,cluster_002,True,118,107,225,False,False,0,0.36,False,False,0,diverse existing-record shortlist for expert review
3,f5ed334bb030c873ebe354c4ed49b382e06f50d850bf0f02a65a5093092115ed,SRR10358525_paired.csv.gz,212,OAS_paired_unknown_target_background,0.8918423327687992,0.9818780565433775,True,0.7927347640235612,0.7503341479142457,0.7030671660848611,f13fc5c6c15f1a5f14a48ad417b86729a5e4a6511f212f1bf9d35e4723b1e12c,0.399301368344603,cluster_003,True,119,109,228,False,False,0,0.3684210526315789,False,False,0,diverse existing-record shortlist for expert review
4,308f60db5f636cc362e3965c5f9a7afdb33dec38b43ed1dd711b12eddc836fa3,SRR10358523_paired.csv.gz,19,OAS_paired_unknown_target_background,0.8891859225598641,0.8925451202664366,False,0.8010897141016454,0.7538260839373141,0.7297632240824982,c13e22767533ec9ebd877af8452759d583c0d30a9cebe6f4010f3d02e673dfca,0.5104512141025519,cluster_004,True,127,109,236,False,False,0,0.3771186440677966,False,False,0,diverse existing-record shortlist for expert review
5,2e9423affe73cf7947a3d268742497c5226eef14a4560e706bfafbc5ac363050,SRR10358525_paired.csv.gz,739,OAS_paired_unknown_target_background,0.8886076381260748,0.9483164033371602,True,0.7741270685878308,0.6997523360212998,0.6590528168476352,36e6797e80af8f95e0cadab8cdeb0edb3a5a1f2ae86febb6ee57b1804386d01e,0.5438218707083644,cluster_005,True,120,108,228,False,False,0,0.37280701754385964,False,False,0,diverse existing-record shortlist for expert review
6,38cb39e81955045df2e8dfdd3ebc0bccd57bec5eaacd0ab8776a08be2a2c1bf8,SRR10358525_paired.csv.gz,330,OAS_paired_unknown_target_background,0.8883082061586286,0.9801882144323107,False,0.781964463047804,0.7591168478133828,0.7298911355108909,f57cf7d8457094cb7cec88d45eaa5edc352e5aa8da228c5d9caadb78340fd78e,0.3631954188671626,cluster_006,True,121,112,233,False,False,0,0.3605150214592275,False,False,0,diverse existing-record shortlist for expert review
7,e2b1bbe99118a32aad4ede6c8ce814fd72ffba911f3c0d3b268b710b52c2deee,SRR10358525_paired.csv.gz,225,OAS_paired_unknown_target_background,0.8880682173733688,0.9657441950301391,False,0.7949366878978308,0.7479214685557924,0.7016296399080608,06f7c70a492842a9fd3377db57c0f5be68032568dcb4ec490c963432a8712498,0.4114614481994632,cluster_007,True,123,108,231,False,False,0,0.3852813852813853,False,False,0,diverse existing-record shortlist for expert review
8,cad4ecbbf530323b4bd2110d2de11b2b83bdf32ff48e5b3ee3e0d2e97f5a2e41,SRR10358525_paired.csv.gz,229,OAS_paired_unknown_target_background,0.8870074199882774,0.9724062374691882,False,0.7660094299731431,0.7238223267496925,0.6952185265326235,558bfb1020a3cc752d78e89df2821c2ea8c8ac1644975656af28e165fd76059c,0.44831031715678804,cluster_008,True,131,112,243,False,False,0,0.37037037037037035,False,False,0,diverse existing-record shortlist for expert review
9,a16664161fa5a484932202d7bdaef8b99c98205b4f0f5c75a906a8c8766e2ddb,SRR10358525_paired.csv.gz,560,OAS_paired_unknown_target_background,0.8846816931358408,0.9638281137622875,False,0.7726826126909475,0.7207565575221172,0.6922648246491188,9dd5a61cc2d8e2e9de3a8f521041ad1c85a797452ca4443e4ab7e9a238b32e0c,0.44773260996849207,cluster_009,True,124,111,235,False,False,0,0.37446808510638296,False,False,0,diverse existing-record shortlist for expert review
10,20653ebd07f34be91a8fd852d50d6da8056361fb4614a81138614f0c4983c28c,SRR10358525_paired.csv.gz,428,OAS_paired_unknown_target_background,0.8811654670646697,0.973030901873703,False,0.7419411458139908,0.6986187482887447,0.6526787962185067,65e1e15c9bd46fdb03fa631e6bc12f5613eae5a947692008bc82090c875f6a45,0.5191454231567855,cluster_010,True,118,107,225,False,False,0,0.37333333333333335,False,False,0,diverse existing-record shortlist for expert review
