row_id,sample_name,label,target_region_group,paired_light_status,cluster_id,landscape_component_1,landscape_component_2
0,8-D9,1,RBD,paired,7,-6.7557301783173,11.562694676117736
1,NIV-10,1,RBD,paired,1,-9.532839041642527,4.488271626717069
2,NIV-11,1,RBD,paired,4,-6.396615233948263,8.31316113112456
3,P4J15,1,RBD,paired,1,-7.738596522915911,2.6937086986496954
4,Huang_2F12,1,other,paired,0,-11.351063096130998,-11.251967287639562
5,Huang_2G3,1,other,paired,0,-10.101824894431866,-10.636652699956215
6,Hollingsworth_7A9,1,RBD,light_missing_or_single_chain,6,-12.11363321159616,-29.83681023966967
7,Sun_1C4,1,RBD,paired,0,-7.491674965700156,3.7016896259982186
8,Sun_Nb1C6,1,RBD,light_missing_or_single_chain,6,-13.202009128154925,-33.73783776919169
9,Sun_Nb1B5,1,RBD,light_missing_or_single_chain,6,-13.815231783175724,-32.38094110748478
10,Chia_E7,1,RBD,paired,1,-7.901433870739928,1.322028210377377
11,Ico-Hu23,1,RBD,paired,7,-9.835214168881693,6.7577944037677975
12,C4-255,1,RBD,light_missing_or_single_chain,6,-13.257147902748057,-30.839831134912128
13,C4-240,1,RBD,light_missing_or_single_chain,6,-13.19664439174625,-30.607887203545953
14,C4-225,1,RBD,light_missing_or_single_chain,6,-13.322480098960288,-30.4887612080856
15,BA2.07,1,RBD,paired,8,-14.663777945645164,2.611222632258035
16,WRAIR-2151,1,RBD,paired,7,5.376026965462069,6.1720529295098885
17,Nb136,1,RBD,light_missing_or_single_chain,6,-12.749185370145389,-30.79502965295819
18,LM18,1,RBD,light_missing_or_single_chain,6,-12.508402790585553,-30.239153857669542
19,TH281,1,RBD,paired,4,-2.0716795695043104,1.1063508551658838
20,TH272,1,RBD,paired,1,-5.833564630498864,6.791660898617073
21,TH236,1,RBD,paired,3,20.43806160920863,-10.45511279749435
22,TH132,1,RBD,paired,4,-3.894200769087093,1.5624511248702007
23,TH027,1,RBD,paired,1,-7.402654726868907,2.479691135610156
24,TH003,1,RBD,paired,1,-6.238585969808326,8.568610452022343
25,D27LEY,1,RBD,paired,8,-9.267792440337868,-0.868922560907928
26,Liu_9A8,1,RBD,paired,4,-3.7238379790503826,0.9465037986124708
27,ADI-60519,1,RBD,light_missing_or_single_chain,6,-6.341610882131866,-23.711380145953015
28,ADI-57926,0,NTD,light_missing_or_single_chain,6,-11.306908722083703,-26.27349150046389
29,ADI-57886,1,RBD,light_missing_or_single_chain,6,-10.280438264041992,-25.488614131663383
30,ADI-62215,1,RBD,light_missing_or_single_chain,6,-4.788292675901954,-23.71852618849622
31,ADI-62203,1,RBD,light_missing_or_single_chain,6,-10.190867447437935,-26.094171840146704
32,ADI-62187,1,RBD,light_missing_or_single_chain,6,-8.385840913692723,-23.911815894615433
33,ADI-56706,0,other,light_missing_or_single_chain,6,-11.50251919819353,-27.21930764372013
34,ADI-56790,0,other,light_missing_or_single_chain,5,24.834807103351746,-23.007583780956445
35,ADI-56738,0,RBD,light_missing_or_single_chain,6,-9.932606441939102,-28.634323273113978
36,ADI-56746,1,RBD,light_missing_or_single_chain,6,-7.062540297654264,-21.749442131663148
37,ADI-57934,1,RBD,light_missing_or_single_chain,6,-8.029081166313254,-23.173215139543398
38,ADI-57931,0,RBD,light_missing_or_single_chain,6,-10.254930356925616,-25.06420320438927
39,ADI-57888,1,RBD,light_missing_or_single_chain,6,-6.395397923342681,-23.278358531524358
40,ADI-57841,1,RBD,light_missing_or_single_chain,6,-7.911745655392334,-23.778358026440515
41,ADI-57817,1,RBD,light_missing_or_single_chain,6,-6.699989719187727,-23.55516226402846
42,ADI-57879,0,NTD,light_missing_or_single_chain,6,-11.958108520338058,-29.14912494190522
43,ADI-57843,1,RBD,light_missing_or_single_chain,6,-4.4044968310823585,-19.38632217707253
44,ADI-57834,1,RBD,light_missing_or_single_chain,6,-7.125178765576336,-24.645883772623876
45,ADI-60562,1,RBD,light_missing_or_single_chain,6,-8.775539679405382,-24.93694652834438
46,ADI-60558,1,RBD,light_missing_or_single_chain,6,-11.652054637827884,-29.79189917019504
47,ADI-60553,0,NTD,light_missing_or_single_chain,5,26.294908972357,-23.187721449369025
48,ADI-62150,1,RBD,light_missing_or_single_chain,6,-9.679295346862194,-25.116762949995326
49,ADI-60675,1,RBD,light_missing_or_single_chain,6,-10.954508119778946,-25.193444750717084
50,ADI-60797,1,RBD,light_missing_or_single_chain,6,-11.183260190424006,-26.819656500477077
51,ADI-60796,0,RBD,light_missing_or_single_chain,6,-12.258486317320724,-31.110035453063876
52,ADI-60783,1,RBD,light_missing_or_single_chain,6,-6.746824856620023,-21.74845430229934
53,ADI-60785,0,RBD,light_missing_or_single_chain,6,-6.482668273398865,-22.106524850026368
54,ADI-60792,1,RBD,light_missing_or_single_chain,6,-9.160021209562707,-23.4279154041683
55,ADI-60781,1,RBD,light_missing_or_single_chain,6,-6.828273991020901,-22.411669639785007
56,ADI-60725,1,RBD,light_missing_or_single_chain,6,-9.265705542467202,-24.6223887268609
57,ADI-60735,1,RBD,light_missing_or_single_chain,6,-10.245283458541456,-26.22013535783174
58,ADI-60715,1,RBD,light_missing_or_single_chain,6,-8.270696588199478,-22.339773201263498
59,ADI-60702,1,RBD,light_missing_or_single_chain,6,-5.2185477023386175,-22.97834065099896
60,ADI-60688,0,NTD,light_missing_or_single_chain,6,-11.044911173484083,-25.219715712427863
61,ADI-60736,1,RBD,light_missing_or_single_chain,6,-7.043059924677491,-21.632094075106778
62,ADI-60734,1,RBD,light_missing_or_single_chain,6,-9.719029838994118,-24.343225172836203
63,ADI-60696,1,RBD,light_missing_or_single_chain,6,-9.477064431088296,-23.63849191275747
64,ADI-60686,1,RBD,light_missing_or_single_chain,6,-9.000636784704229,-24.066876327509448
65,ADI-60701,1,RBD,light_missing_or_single_chain,6,-9.932891306640801,-25.82582126432868
66,ADI-61228,1,RBD,light_missing_or_single_chain,6,-7.049155242870273,-20.887289998480096
67,ADI-61227,0,RBD,light_missing_or_single_chain,6,-9.307727728715019,-25.73793643734492
68,ADI-60758,1,RBD,light_missing_or_single_chain,6,-8.484404395577622,-25.80119987065698
69,ADI-62176,1,RBD,light_missing_or_single_chain,6,-8.667477921777776,-22.883252235437865
70,ADI-60744,1,RBD,light_missing_or_single_chain,6,-7.513627221982707,-22.688359744655685
71,ADI-62067,1,RBD,light_missing_or_single_chain,6,-10.093140734531625,-25.334626317490436
72,ADI-62061,1,RBD,light_missing_or_single_chain,6,-3.379185771677913,-23.655280271172234
73,ADI-62115,0,other,light_missing_or_single_chain,6,-12.420359004631225,-30.305648603517874
74,ADI-62093,1,RBD,light_missing_or_single_chain,6,-10.278387024002859,-25.00378541952503
75,ADI-62137,1,RBD,light_missing_or_single_chain,6,-7.348812379929189,-22.021416231813756
76,ADI-62050,0,NTD,light_missing_or_single_chain,6,10.36559176410451,-29.068977477607227
77,ADI-62075,1,RBD,light_missing_or_single_chain,6,-9.907925667110137,-25.821132712048698
78,ADI-62045,1,RBD,light_missing_or_single_chain,6,-6.769616128403464,-20.597459667006994
79,ADI-62112,1,RBD,light_missing_or_single_chain,6,-13.935637381715157,-32.043029697017516
80,ADI-62092,1,RBD,light_missing_or_single_chain,6,-11.072154500645082,-27.25928580976915
81,ADI-62114,1,RBD,light_missing_or_single_chain,6,-11.540221281838686,-27.94858510452811
82,ADI-62033,1,RBD,light_missing_or_single_chain,6,-7.175191480896315,-24.108834478461496
83,ADI-62014,0,RBD,light_missing_or_single_chain,6,-7.0029933407104155,-22.56266467159699
84,ADI-62122,1,RBD,light_missing_or_single_chain,6,-9.514690458712014,-24.727773238363188
85,ADI-62066,1,RBD,light_missing_or_single_chain,6,-11.259367646075797,-29.382709794161094
86,ADI-62104,1,RBD,light_missing_or_single_chain,6,-11.516693676963348,-28.507532557036498
87,ADI-62113,1,RBD,light_missing_or_single_chain,6,-14.175119781741373,-31.398722667229674
88,ADI-62099,1,RBD,light_missing_or_single_chain,6,-6.457669238911441,-21.6499410710688
89,ADI-62065,1,RBD,light_missing_or_single_chain,6,-7.441057029339155,-23.406706491992733
90,ADI-62116,1,RBD,light_missing_or_single_chain,6,-6.585965639587111,-22.93472176809206
91,ADI-62054,1,RBD,light_missing_or_single_chain,6,-8.019250379458994,-21.64400239298744
92,ADI-62777,1,RBD,light_missing_or_single_chain,6,-11.385462145919103,-27.266516599819457
93,ADI-62778,1,RBD,light_missing_or_single_chain,6,-9.449070417583057,-23.514175427098102
94,ADI-62781,1,RBD,light_missing_or_single_chain,6,-8.055870734864607,-22.0607176972588
95,ADI-62785,1,RBD,light_missing_or_single_chain,6,-9.33593068297338,-24.969402507298817
96,ADI-62790,1,RBD,light_missing_or_single_chain,6,-11.124251852717414,-26.85264694885469
97,ADI-62793,1,RBD,light_missing_or_single_chain,6,-11.319072620674776,-27.355924700026705
98,ADI-62795,1,RBD,light_missing_or_single_chain,6,-11.611635430741066,-27.058235575097886
99,ADI-62798,0,NTD,light_missing_or_single_chain,6,-11.827076365570829,-27.58679321688174
100,ADI-62812,1,NTD,light_missing_or_single_chain,6,-8.536676903676074,-23.934562003186553
101,ADI-62816,1,RBD,light_missing_or_single_chain,6,-11.066076315654946,-26.292831986128178
102,ADI-62821,1,RBD,light_missing_or_single_chain,6,-10.065624844434648,-24.96036787485609
103,ADI-62824,1,RBD,light_missing_or_single_chain,6,-10.337293405993965,-25.355549789934088
104,ADI-62835,1,RBD,light_missing_or_single_chain,6,-9.229935183763349,-23.959039297625242
105,ADI-62836,1,RBD,light_missing_or_single_chain,6,-8.924662788167605,-22.84120838967732
106,ADI-62841,0,RBD,light_missing_or_single_chain,6,-14.181525461417582,-31.943670726026955
107,ADI-62854,1,RBD,light_missing_or_single_chain,6,-11.274781217637086,-28.012184973416645
108,ADI-62858,1,RBD,light_missing_or_single_chain,6,-13.47759887198814,-30.47659941813698
109,ADI-62861,0,RBD,light_missing_or_single_chain,6,-10.179724042772348,-25.496683443901734
110,ADI-62878,1,RBD,light_missing_or_single_chain,6,-8.18239499675661,-23.42468114269919
111,ADI-62924,1,RBD,light_missing_or_single_chain,6,-10.260921853452611,-26.16159957182474
112,ADI-62938,0,RBD,light_missing_or_single_chain,6,-8.852509045685046,-24.54894784418558
113,ADI-62942,1,RBD,light_missing_or_single_chain,6,-10.224303419237767,-25.500690503562744
114,ADI-62952,1,RBD,light_missing_or_single_chain,6,-8.180680816297714,-23.66947330647856
115,ADI-62953,1,RBD,light_missing_or_single_chain,6,-11.275197000448754,-27.30658627451054
116,ADI-62965,1,RBD,light_missing_or_single_chain,6,-9.002376362454777,-24.71945102777221
117,ADI-62972,1,RBD,light_missing_or_single_chain,6,-8.728382843956645,-24.418803041722125
118,ADI-62980,1,RBD,light_missing_or_single_chain,6,-11.869076910515798,-27.290204063768503
119,ADI-62986,1,RBD,light_missing_or_single_chain,6,-9.430118370741667,-23.672772415344724
120,ADI-62988,1,RBD,light_missing_or_single_chain,6,-10.806000421370541,-26.015390053223474
121,ADI-62991,1,other,light_missing_or_single_chain,6,-13.320760379641442,-29.60561768230732
122,ADI-62994,1,RBD,light_missing_or_single_chain,6,-9.228583295752868,-24.083422053160415
123,ADI-62998,1,RBD,light_missing_or_single_chain,6,-12.729642444376292,-29.4757088077485
124,ADI-63002,1,RBD,light_missing_or_single_chain,6,-9.591890420177284,-24.861970708060742
125,ADI-63009,1,RBD,light_missing_or_single_chain,6,-9.982405436105369,-24.91133164674557
126,ADI-63027,1,RBD,light_missing_or_single_chain,6,-9.888454294076277,-24.584149957851544
